PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scotty Pippen Jr. (37170398),Amen Thompson (37170347),Jaime Jaquez Jr. (37170401),Jalen Williams (37170290),Onyeka Okongwu (37170478),Jaylen Brown (37170295),Brandon Clarke (37170586),Isaiah Hartenstein (37170318),50000,268.82,1.8285253171920005e-07,186.2,234.0,79.71000000000001
Scottie Barnes (37170268),Gradey Dick (37170380),Jake LaRavia (37170492),Jayson Tatum (37170261),Jaren Jackson Jr. (37170314),Scotty Pippen Jr. (37170398),Sam Hauser (37170525),Jay Huff (37170790),49900,269.74,4.3233821428289185e-07,208.90000000000003,236.70000000000002,78.53
Tyrese Haliburton (37170300),Donte DiVincenzo (37170511),Jake LaRavia (37170492),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Terry Rozier (37170439),Jalen Williams (37170290),Jalen Johnson (37170273),50000,269.97,8.498212096979406e-07,164.40000000000003,239.80000000000004,78.49
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Zaccharie Risacher (37170583),Jalen Williams (37170290),Clint Capela (37170378),Donte DiVincenzo (37170511),Jalen Johnson (37170273),Bam Adebayo (37170293),50000,270.6,9.671801944874496e-07,177.20000000000002,238.10000000000002,78.71
Cason Wallace (37170496),Luguentz Dort (37170453),Desmond Bane (37170329),Jake LaRavia (37170492),Jaren Jackson Jr. (37170314),Scotty Pippen Jr. (37170398),Julius Randle (37170325),Jalen Johnson (37170273),50000,268.46,8.359149712755744e-07,176.9,244.80000000000004,78.04
Payton Pritchard (37170387),Devin Vassell (37170391),Jaylen Brown (37170295),Jaren Jackson Jr. (37170314),Brandon Clarke (37170586),Scotty Pippen Jr. (37170398),De'Andre Hunter (37170361),Julius Randle (37170325),50000,271.24,9.9071239837752e-06,227.9,245.20000000000005,79.05
Scotty Pippen Jr. (37170398),Jaylen Brown (37170295),Jaime Jaquez Jr. (37170401),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Chris Paul (37170370),Devin Vassell (37170391),Bam Adebayo (37170293),50000,271.68,1.5337227000398688e-06,204.70000000000002,243.10000000000002,80.19
Tyler Herro (37170307),Jaylen Brown (37170295),Luguentz Dort (37170453),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Devin Vassell (37170391),Nikola Jovic (37170519),Alperen Sengun (37170284),50000,268.82,8.59503955115503e-07,167.4,240.8,79.39
Scotty Pippen Jr. (37170398),Donte DiVincenzo (37170511),Jaylen Brown (37170295),Jalen Williams (37170290),Isaiah Hartenstein (37170318),Chris Paul (37170370),Zaccharie Risacher (37170583),Jalen Green (37170373),50000,272.72,1.7381130906652129e-06,192.0,243.3,78.92999999999999
Chris Paul (37170370),Payton Pritchard (37170387),Scottie Barnes (37170268),Jalen Johnson (37170273),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Zaccharie Risacher (37170583),Julius Randle (37170325),49900,272.72,2.920300490896589e-06,205.79999999999998,240.3,78.61000000000001
Fred VanVleet (37170344),Jalen Green (37170373),Desmond Bane (37170329),Jalen Williams (37170290),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Nikola Jovic (37170519),Alperen Sengun (37170284),50000,272.35,5.350865164696435e-07,172.9,237.20000000000005,79.78
