PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),Christian Braun (36930189),Josh Hart (36930098),Jimmy Butler (36930076),Brandon Clarke (36930316),50000,263.87,3.631369137455241e-06,198.7,248.9,77.25
Jared Butler (36930398),Carlton Carrington (36930293),OG Anunoby (36930138),Michael Porter Jr. (36930102),Yves Missi (36930203),Alexandre Sarr (36930172),Luka Doncic (36929999),Derrick White (36930106),50000,257.01,3.2765278318186754e-07,160.0,243.5,78.5
Jared Butler (36930398),Nikola Jokic (36929997),Bam Adebayo (36930056),Marcus Smart (36930285),Christian Braun (36930189),Jaylen Brown (36930043),Haywood Highsmith (36930378),Cason Wallace (36930312),49900,258.96,2.2842096736893406e-07,149.2,235.8,77.18
Marvin Bagley III (36930299),Karl-Anthony Towns (36930021),Marcus Smart (36930285),OG Anunoby (36930138),Tyler Herro (36930073),Justin Champagnie (36930405),Jalen Williams (36930023),Tyus Jones (36930142),50000,254.86,1.1263826967792539e-07,130.2,237.7,78.33
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mason Plumlee (36930301),Jordan Poole (36930110),OG Anunoby (36930138),Josh Hart (36930098),Alexandre Sarr (36930172),49800,268.99,2.2207173424542545e-05,224.3,241.5,80.26
Jared Butler (36930398),Nikola Jokic (36929997),Jordan Poole (36930110),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Alex Caruso (36930373),Jaylen Wells (36930336),Kevin Love (36930396),50000,262.96,2.718431801676148e-07,160.9,211.6,80.14
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),Desmond Bane (36930120),Jimmy Butler (36930076),Bilal Coulibaly (36930207),Terry Rozier (36930259),50000,261.88,1.5597567411611643e-06,189.6,244.5,77.9
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mason Plumlee (36930301),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Josh Hart (36930098),50000,271.82,3.6695999988116035e-05,235.0,251.3,79.11
Mason Plumlee (36930301),Jordan Poole (36930110),Mikal Bridges (36930150),Scottie Barnes (36930013),Josh Hart (36930098),Jalen Brunson (36930040),Brandon Clarke (36930316),Jaylen Wells (36930336),49900,255.82,1.2808131928595013e-07,123.8,246.7,77.43
Carlton Carrington (36930293),Bam Adebayo (36930056),Scottie Barnes (36930013),Tyler Herro (36930073),Christian Braun (36930189),Michael Porter Jr. (36930102),Aaron Wiggins (36930341),Jaylen Wells (36930336),49900,255.31,4.863954543041881e-08,117.3,244.7,76.97
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),OG Anunoby (36930138),Aaron Gordon (36930147),Christian Braun (36930189),Derrick White (36930106),50000,267.9,1.8642427382655587e-05,228.1,258.4,76.88
Jared Butler (36930398),Carlton Carrington (36930293),Marvin Bagley III (36930299),Jordan Poole (36930110),Scottie Barnes (36930013),Jayson Tatum (36930005),Kristaps Porzingis (36930084),Aaron Wiggins (36930341),50000,261.29,8.577228539203762e-07,166.29999999999998,223.1,79.38
Jared Butler (36930398),Carlton Carrington (36930293),Karl-Anthony Towns (36930021),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Jaylen Brown (36930043),Oso Ighodaro (36930289),Alex Caruso (36930373),49900,260.4,3.9021868662879227e-07,168.9,231.1,79.44
Carlton Carrington (36930293),Jordan Poole (36930110),Bam Adebayo (36930056),Scottie Barnes (36930013),Desmond Bane (36930120),Josh Hart (36930098),Justin Champagnie (36930405),Isaiah Joe (36930360),49900,257.48,4.610521753122283e-07,145.2,240.8,78.29
Marvin Bagley III (36930299),Jrue Holiday (36930224),Marcus Smart (36930285),Desmond Bane (36930120),Josh Hart (36930098),Michael Porter Jr. (36930102),Kyrie Irving (36930036),Jakob Poeltl (36930088),50000,253.93,4.845882271497119e-08,112.3,243.9,77.47
Jared Butler (36930398),Carlton Carrington (36930293),Jordan Poole (36930110),Karl-Anthony Towns (36930021),Bam Adebayo (36930056),Jayson Tatum (36930005),Aaron Wiggins (36930341),Jaylen Wells (36930336),50000,262.51,3.9288337177934105e-07,159.6,226.7,79.33
Jared Butler (36930398),Carlton Carrington (36930293),Karl-Anthony Towns (36930021),Mikal Bridges (36930150),OG Anunoby (36930138),Aaron Gordon (36930147),Scottie Barnes (36930013),Dereck Lively II (36930187),49700,262.8,8.853303471993611e-06,211.5,249.1,78.85
Carlton Carrington (36930293),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Christian Braun (36930189),Desmond Bane (36930120),Justin Champagnie (36930405),PJ Washington (36930117),50000,262.6,6.542941988978048e-07,168.1,236.70000000000002,78.89
