Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Gui Santos,GSW,SG,"3,000",0.73,0.49,1.05,0.4,100,0,0,0,0
Paul Reed,DET,C,"3,200",1.15,0.77,1.67,0.63,100,0,0,0,0
Jalen Pickett,DEN,PG/SG,"3,100",2.01,1.34,2.91,1.11,100,0,0,0,0
Dario Saric,DEN,C,"3,100",0.81,0.54,1.18,0.45,100,0,0,0,0
Zeke Nnaji,DEN,C,"3,000",0.7,0.47,1.02,0.39,100,0,0,0,0
Jevon Carter,CHI,PG/SG,"3,100",0.73,0.48,1.05,0.4,100,0,0,0,0
Chris Duarte,CHI,SG/SF,"3,000",0.79,0.52,1.14,0.43,100,0,0,0,0
Garrison Mathews,ATL,SG/SF,"3,800",6.96,4.64,10.09,3.83,98,0,,,
Vit Krejci,ATL,PG/SG,"3,300",2.45,1.64,3.56,1.35,99,0,,,
David Roddy,ATL,PF,"3,000",0.74,0.49,1.07,0.4,100,0,,,
Dominick Barlow,ATL,C,"3,000",0.85,0.57,1.24,0.47,100,0,,,
